cdp,cdpx,cdpy
670,119.87510325,22.654197375
671,119.875127,22.6541805
672,119.87515075,22.654163625
673,119.8751745,22.65414675
674,119.87519825,22.654129875
675,119.875222,22.654113
676,119.875244625,22.654096625
677,119.87526725,22.65408025
678,119.875289875,22.654063875
679,119.8753125,22.6540475
680,119.875335125,22.654031125
681,119.87535775,22.65401475
682,119.875380375,22.653998375
683,119.875403,22.653982
684,119.875427375,22.653967375
685,119.87545175,22.65395275
686,119.875476125,22.653938125
687,119.8755005,22.6539235
688,119.875524875,22.653908875
689,119.87554925,22.65389425
690,119.875573625,22.653879625
691,119.875598,22.653865
692,119.875622375,22.653850375
693,119.87564675,22.65383575
694,119.875671125,22.653821125
695,119.8756955,22.6538065
696,119.875719875,22.653791875
697,119.87574425,22.65377725
698,119.875768625,22.653762625
699,119.875793,22.653748
700,119.875816,22.653731125
701,119.875839,22.65371425
702,119.875862,22.653697375
703,119.875885,22.6536805
704,119.875908,22.653663625
705,119.875931,22.65364675
706,119.875954,22.653629875
707,119.875977,22.653613
708,119.876001375,22.653596375
709,119.87602575,22.65357975
710,119.876050125,22.653563125
711,119.8760745,22.6535465
712,119.876098875,22.653529875
713,119.87612325,22.65351325
714,119.876147625,22.653496625
715,119.876172,22.65348
716,119.876197375,22.65346375
717,119.87622275,22.6534475
718,119.876248125,22.65343125
719,119.8762735,22.653415
720,119.876298875,22.65339875
721,119.87632425,22.6533825
722,119.876349625,22.65336625
723,119.876375,22.65335
724,119.8763965,22.6533335
725,119.876418,22.653317
726,119.8764395,22.6533005
727,119.876461,22.653284
728,119.8764825,22.6532675
729,119.876504,22.653251
730,119.8765255,22.6532345
731,119.876547,22.653218
732,119.87657175,22.653201625
733,119.8765965,22.65318525
734,119.87662125,22.653168875
735,119.876646,22.6531525
736,119.87667075,22.653136125
737,119.8766955,22.65311975
738,119.87672025,22.653103375
739,119.876745,22.653087
740,119.8767675,22.653069875
741,119.87679,22.65305275
742,119.8768125,22.653035625
743,119.876835,22.6530185
744,119.8768575,22.653001375
745,119.87688,22.65298425
746,119.8769025,22.652967125
747,119.876925,22.65295
748,119.876947875,22.6529335
749,119.87697075,22.652917
750,119.876993625,22.6529005
751,119.8770165,22.652884
752,119.877039375,22.6528675
753,119.87706225,22.652851
754,119.877085125,22.6528345
755,119.877108,22.652818
756,119.877128875,22.652801625
757,119.87714975,22.65278525
758,119.877170625,22.652768875
759,119.8771915,22.6527525
760,119.877212375,22.652736125
761,119.87723325,22.65271975
762,119.877254125,22.652703375
763,119.877275,22.652687
764,119.8772985,22.65266825
765,119.877322,22.6526495
766,119.8773455,22.65263075
767,119.877369,22.652612
768,119.8773925,22.65259325
769,119.877416,22.6525745
770,119.8774395,22.65255575
771,119.877463,22.652537
772,119.87748575,22.652517375
773,119.8775085,22.65249775
774,119.87753125,22.652478125
775,119.877554,22.6524585
776,119.87757675,22.652438875
777,119.8775995,22.65241925
778,119.87762225,22.652399625
